Epoch	Time(sec)	Loss	AUC_dev	AUC_test	Precision	Recall
0	1.3450522549974266	234.76562197092215	0.3888888888888889	0.625	0.6666666666666666	0.3333333333333333
1	2.6838278799987165	96.66287871505784	0.33333333333333337	0.9166666666666666	1.0	0.16666666666666666
2	3.946737561011105	75.05404145436557	0.3888888888888889	0.8333333333333334	1.0	0.16666666666666666
3	5.229484543000581	63.102501410470175	0.3888888888888889	0.875	1.0	0.3333333333333333
4	6.507991607999429	56.3179120921795	0.5	0.7083333333333334	0.75	0.5
5	7.825576961011393	51.776572803453	0.4444444444444445	0.9166666666666667	1.0	0.5
6	9.20086517900927	48.567791906580055	0.5	0.875	1.0	0.5
7	10.60614188000909	45.235300094025064	0.5	0.9166666666666667	1.0	0.5
8	12.02483741400647	43.55191990436197	0.5	0.9166666666666667	1.0	0.5
9	13.488893009009189	40.600810845493584	0.5	0.9166666666666667	1.0	0.5
10	14.994270449999021	40.08562563834812	0.5	0.9166666666666667	1.0	0.5
