Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1.547345872000733	482.53649879683144	0.8125	0.75	0.8	0.6666666666666666
1	3.0796261010000308	230.46904554779843	0.375	0.75	0.8	0.6666666666666666
2	4.554536753999855	129.46993892716637	0.5625	0.875	1.0	0.6666666666666666
3	6.07782474600026	88.88328023122375	0.5625	0.6666666666666666	0.6666666666666666	0.6666666666666666
4	7.631283684000664	83.08748485380693	0.5625	0.9166666666666666	1.0	0.6666666666666666
5	9.149424736999208	51.409681321995095	0.5	0.6666666666666666	0.7142857142857143	0.8333333333333334
6	10.771649943999364	43.168808580944415	0.625	0.9583333333333334	1.0	0.6666666666666666
7	12.444729380000354	38.19422481001607	0.5625	0.9166666666666667	1.0	0.8333333333333334
8	14.182380627000384	31.20818091972683	0.625	0.9583333333333334	1.0	0.6666666666666666
9	15.903557820998685	30.29779686907075	0.4375	0.75	0.7142857142857143	0.8333333333333334
