Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1.7002346579999994	2079.678883830586	0.875	0.41666666666666663	0.625	0.8333333333333334
1	3.6920518219999394	695.489792389458	1.0	0.6666666666666666	0.8	0.6666666666666666
2	5.408327740999994	491.44539656851885	1.0	0.75	1.0	0.6666666666666666
3	7.141273945999956	430.89465594883904	1.0	0.7916666666666666	1.0	0.6666666666666666
4	8.731876446999877	381.7591344073129	1.0	0.7916666666666666	1.0	0.6666666666666666
5	10.278056098999969	341.2025291397905	1.0	0.7916666666666666	1.0	0.6666666666666666
6	11.878316109000025	305.954462720752	1.0	0.7916666666666666	1.0	0.6666666666666666
7	13.505166749999944	272.3079185395865	1.0	0.75	0.8	0.6666666666666666
8	15.146724826999844	243.4744472440226	1.0	0.75	0.8	0.6666666666666666
9	16.782982746000016	223.78295470970565	0.9375	0.75	0.8	0.6666666666666666
