Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1.3132240830018418	2119.037760098454	0.16666666666666669	0.375	0.0	0.0
1	2.6613329550018534	1755.4039103184698	0.16666666666666669	0.41666666666666663	0.0	0.0
2	3.8284151970001403	1285.7321025587253	0.12499999999999997	0.41666666666666663	0.0	0.0
3	5.070955750008579	1054.1252222969006	0.12499999999999997	0.41666666666666663	0.0	0.0
4	6.293380862000049	919.4181982428695	0.16666666666666663	0.41666666666666663	0.0	0.0
5	7.481216172003769	803.5671134910494	0.16666666666666663	0.41666666666666663	0.0	0.0
6	8.675916307009174	689.6898371320409	0.16666666666666663	0.41666666666666663	0.0	0.0
7	9.967095922009321	583.5394747845495	0.16666666666666663	0.41666666666666663	0.0	0.0
8	11.23335192000377	484.36632237679646	0.16666666666666663	0.41666666666666663	0.0	0.0
9	12.436808404003386	394.2146836819463	0.20833333333333331	0.375	0.0	0.0
